County,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_TOTAL VOTES,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_TOTAL VOTES,Total,
Catoosa,5096,2910,16740,20,24766,992,1939,3741,4,6676,31442,
Chattooga,2360,1040,4269,4,7673,392,607,871,2,1872,9545,
Dade,1940,628,3319,6,5893,253,330,638,1,1222,7115,
Floyd,7670,4244,14035,106,26055,2193,3464,4664,18,10339,36394,
Gordon,6691,2407,9496,14,18608,1081,1365,1916,0,4362,22970,
Haralson,4210,1729,6108,4,12051,383,649,736,0,1768,13819,
Murray,3743,1339,7444,0,12526,531,640,1076,0,2247,14773,
Paulding,9740,9639,35085,0,54464,3617,9951,14885,0,28453,82917,
Pickens,2519,539,2025,5,5088,196,232,269,0,697,5785,
Polk,2796,1625,8821,12,13254,586,1014,1883,8,3491,16745,
Walker,5501,3451,13754,8,22714,989,2032,2525,2,5548,28262,
Whitfield,8620,3423,12627,45,24715,2739,2598,4790,17,10144,34859,
